1852 6480
32 1750 -100
33 220 100
33 842 100
33 871 -100
33 932 -100
33 1197 -100
33 1537 -100
34 151 -100
34 304 -100
34 313 -100
34 842 -44
34 1750 -100
35 331 -100
35 413 100
35 624 100
35 796 -100
35 875 100
35 1385 -100
35 1821 -100
36 470 -100
36 842 -44
36 1316 -100
36 1557 -100
36 1641 -100
37 413 -44
37 1137 -100
37 1543 -100
37 1561 -100
37 1755 -100
38 41 -100
38 663 -100
38 842 -44
38 1318 -100
38 1432 -100
39 207 -100
39 345 -100
39 842 -44
39 1272 -100
39 1337 -100
40 80 -100
40 282 -100
40 365 -100
40 413 -44
40 1419 -100
41 44 -100
41 123 -100
41 278 -100
41 413 100
41 734 -100
41 764 -100
41 842 -44
41 1157 -100
41 1354 -100
41 1441 -100
41 1554 -100
42 413 -44
42 578 -100
42 817 -100
42 1428 -100
42 1628 -100
43 446 -100
43 559 -100
43 842 -44
43 894 -100
43 1410 -100
44 109 -100
44 413 100
44 515 -100
44 1162 -100
44 1192 -100
44 1510 -100
45 58 100
45 380 -100
45 413 100
45 634 -100
45 1403 -100
45 1650 -100
45 1811 -100
46 270 -100
46 413 -44
46 470 -100
46 1069 -100
46 1444 -100
46 1568 -100
47 413 -44
47 1016 -100
47 1103 -100
47 1418 -100
47 1465 -100
47 1523 -100
48 223 -100
48 390 -100
48 808 -100
48 842 100
48 1404 -100
48 1480 -100
49 237 -100
49 265 -100
49 413 -44
49 866 -100
49 1201 -100
49 1479 -100
50 413 100
50 813 -100
50 1013 -100
50 1292 -100
50 1482 100
50 1552 -100
51 413 -44
51 419 -100
51 753 -100
51 853 -100
51 1797 -100
52 413 -44
52 536 -100
52 1276 -100
52 1483 -100
52 1747 -100
53 182 -100
53 413 -44
53 456 -100
53 809 -100
53 1102 -100
54 116 -100
54 332 -100
54 413 100
54 557 -100
54 1095 -100
54 1806 -100
55 398 -100
55 842 -44
55 879 -100
55 918 -100
55 1846 -100
56 842 100
56 1117 -100
56 1461 -100
56 1487 -100
56 1513 -100
56 1524 -100
57 413 -44
57 509 -100
57 1021 -100
57 1230 -100
57 1576 -100
58 157 -100
58 413 100
58 427 -100
58 710 -100
58 1207 100
59 531 -100
59 842 100
59 930 -100
59 1158 -100
59 1461 -100
59 1703 -100
60 71 -100
60 320 -100
60 480 -100
60 842 -44
61 842 -44
61 852 -100
61 988 -100
61 1039 -100
61 1489 -100
61 1579 -100
62 599 -100
62 842 100
62 1014 -100
62 1652 -100
62 1772 -100
63 401 -100
63 526 -100
63 842 100
63 1026 100
63 1427 -100
63 1671 -100
63 1763 -100
64 200 -100
64 328 -100
64 757 -100
64 775 -100
64 842 -44
64 1590 -100
65 109 -100
65 842 -44
65 1486 -100
65 1691 -100
66 413 100
66 818 -100
66 1106 -100
66 1160 -100
66 1182 -100
66 1843 -100
67 103 -100
67 337 -100
67 415 -100
67 544 -100
67 586 -100
67 842 -44
68 224 -100
68 474 -100
68 658 -100
68 842 -44
68 1753 -100
69 389 -100
69 803 -100
69 842 100
69 1135 -100
70 216 -100
70 282 -100
70 413 100
70 875 -100
70 1621 -100
71 294 -100
71 392 -100
71 413 -44
71 736 -100
71 842 -44
71 1255 -100
71 1440 -100
71 1648 -100
71 1683 -100
72 413 100
72 685 -100
72 959 -100
72 997 -100
72 1850 -100
73 711 -100
73 842 100
73 867 -100
73 925 -100
73 1494 -100
73 1551 -100
74 447 -100
74 842 -44
74 883 -100
74 1174 -100
74 1521 -100
74 1778 -100
75 119 -100
75 447 -100
75 842 -44
75 883 -100
75 1174 -100
75 1778 -100
76 347 -100
76 780 -100
76 842 -44
76 1494 -100
76 1727 -100
77 146 -100
77 413 -44
77 652 -100
77 998 -100
77 1570 -100
78 323 -100
78 413 100
78 814 -100
78 1345 -100
78 1365 -100
78 1764 -100
79 842 100
79 1117 -100
79 1233 -100
79 1461 -100
79 1487 -100
79 1513 -100
80 205 -100
80 413 -44
80 644 -100
80 1359 -100
80 1573 -100
81 186 -100
81 585 -100
81 842 -44
81 1135 -100
81 1668 -100
82 200 -100
82 274 -100
82 328 -100
82 757 -100
82 842 -44
82 1590 -100
83 413 -44
83 604 -100
83 1056 -100
83 1178 -100
83 1583 -100
84 675 -100
84 842 -44
84 964 -100
84 1435 -100
84 1792 -100
85 483 -100
85 750 -100
85 842 100
85 1124 -100
85 1154 100
85 1159 -100
85 1745 100
86 271 -100
86 413 -44
86 581 -100
86 1351 -100
86 1375 -100
87 413 -44
87 509 -100
87 1021 -100
87 1230 -100
87 1576 -100
87 1686 -100
88 281 -100
88 413 -44
88 423 -100
88 540 -100
88 914 -100
89 367 -100
89 613 -100
89 842 100
89 1065 -100
89 1135 -100
89 1468 -100
89 1704 -100
90 413 100
90 444 -100
90 704 -100
90 726 -100
90 1499 -100
90 1771 -100
91 165 -100
91 413 100
91 617 -100
91 667 -100
91 882 -100
91 1342 -100
92 397 -100
92 842 100
92 1460 -100
92 1626 -100
92 1696 -100
93 413 -44
93 607 -100
93 774 -100
93 1254 -100
93 1373 -100
94 349 -100
94 413 100
94 685 -100
94 959 -100
94 997 -100
94 1850 -100
95 385 -100
95 439 -100
95 619 -100
95 842 -44
95 1275 -100
95 1734 -100
96 156 -100
96 379 -100
96 782 -100
96 842 100
96 1358 -100
96 1462 -100
96 1773 -100
97 233 -100
97 413 100
97 545 100
97 825 -100
97 1762 -100
97 1764 -100
97 1813 -100
98 842 100
98 867 -100
98 1291 -100
98 1357 -100
99 201 -100
99 225 -100
99 395 -100
99 842 -44
99 1064 -100
99 1841 -100
100 413 -44
100 598 -100
100 824 -100
100 1116 -100
100 1326 -100
100 1408 -100
101 413 -44
101 571 -100
101 732 -100
101 742 -100
101 1355 -100
101 1807 -100
102 330 -100
102 508 -100
102 639 -100
102 842 100
102 1136 -100
102 1689 -100
103 158 -100
103 220 -100
103 842 100
103 996 -100
103 1109 -100
103 1181 100
104 671 -100
104 714 -100
104 842 -44
104 1639 -100
104 1836 -100
105 296 -100
105 413 -44
105 731 -100
105 1204 -100
105 1397 -100
105 1767 -100
106 298 -100
106 413 100
106 476 -100
106 556 -100
106 881 -100
106 1235 -100
106 1347 -100
107 402 -100
107 413 -44
107 1221 -100
107 1241 -100
107 1711 -100
108 413 -44
108 442 -100
108 922 -100
108 1082 -100
108 1175 -100
108 1395 -100
109 123 -100
109 278 -100
109 413 100
109 734 -100
109 842 -44
109 1260 -100
109 1288 -100
109 1629 -100
109 1677 -100
110 664 -100
110 730 -100
110 810 -100
110 842 100
110 867 100
110 1304 -100
110 1674 100
111 268 -100
111 651 -100
111 740 -100
111 743 -100
111 842 -44
112 373 -100
112 677 -100
112 842 100
112 843 -100
112 1404 -100
112 1688 -100
112 1737 -100
113 455 -100
113 664 -100
113 692 -100
113 793 -100
113 842 -44
113 1515 -100
114 413 -44
114 667 -100
114 1394 -100
114 1584 -100
114 1732 -100
115 375 -100
115 466 -100
115 842 100
115 1183 -100
115 1463 -100
115 1580 -100
115 1594 -100
116 199 -100
116 269 -100
116 413 100
116 1043 100
116 1541 -100
116 1571 -100
117 413 -44
117 670 -100
117 726 -100
117 1052 -100
117 1606 -100
118 384 -100
118 725 -100
118 842 -44
118 1553 -100
119 673 -100
119 842 100
119 1090 -100
119 1225 -100
119 1475 -100
120 413 100
120 588 -100
120 746 -100
120 1002 -100
120 1552 -100
120 1815 -100
121 413 -44
121 475 -100
121 487 -100
121 906 -100
121 978 -100
121 1110 -100
122 247 -100
122 318 -100
122 842 -44
122 984 -100
122 1158 -100
122 1790 -100
123 129 -100
123 175 -100
123 413 100
123 1192 -100
123 1510 -100
124 221 -100
124 377 -100
124 842 100
124 1337 -100
124 1358 -100
124 1758 -100
125 254 -100
125 413 100
125 654 -100
125 820 -100
125 1399 -100
125 1749 -100
126 573 -100
126 830 -100
126 842 100
126 1128 -100
126 1149 -100
126 1723 -100
126 1835 -100
127 149 -100
127 413 -44
127 1132 -100
127 1323 -100
127 1657 -100
128 413 -44
128 1137 -100
128 1543 -100
128 1561 -100
128 1755 -100
129 308 -100
129 334 -100
129 413 100
129 770 -100
129 1268 -100
129 1760 -100
130 193 -100
130 215 -100
130 396 -100
130 413 100
130 541 -100
130 877 -100
131 195 -100
131 276 -100
131 842 -44
131 1426 -100
131 1527 -100
131 1685 -100
132 499 -100
132 842 100
132 886 -100
132 1491 -100
132 1741 -100
132 1846 -100
133 148 -100
133 413 -44
133 973 -100
133 1085 -100
133 1094 -100
133 1429 -100
134 413 100
134 481 -100
134 1234 -100
134 1310 100
134 1349 -100
134 1504 -100
134 1675 100
135 388 -100
135 494 -100
135 550 -100
135 842 100
135 1642 -100
135 1694 -100
136 235 -100
136 327 -100
136 536 -100
136 703 -100
136 744 -100
136 842 -44
137 495 -100
137 748 -100
137 842 -44
137 898 -100
137 1274 -100
137 1852 -100
138 413 100
138 861 -100
138 877 -100
138 1152 -100
138 1469 -100
138 1482 -100
138 1816 -100
139 295 -100
139 842 -44
139 852 -100
139 1039 -100
139 1489 -100
139 1579 -100
140 413 -44
140 687 -100
140 1300 -100
140 1632 -100
141 784 -100
141 842 -44
141 1061 -100
141 1333 -100
141 1684 -100
142 842 -44
142 848 -100
142 1099 -100
142 1804 -100
143 311 -100
143 842 100
143 1212 -100
143 1458 -100
143 1681 -100
144 609 -100
144 618 100
144 842 100
144 846 -100
144 1306 -100
144 1616 -100
144 1633 -100
145 201 -100
145 225 -100
145 395 -100
145 842 -44
145 1064 -100
145 1451 -100
146 413 -44
146 445 -100
146 1003 -100
146 1411 -100
146 1742 -100
147 392 -100
147 413 100
147 881 -100
147 941 -100
147 986 -100
147 993 -100
147 1283 -100
148 413 -44
148 625 -100
148 873 -100
148 1387 -100
149 253 -100
149 348 -100
149 413 -44
149 1716 -100
150 413 -44
150 943 -100
150 1072 -100
150 1785 -100
151 767 -100
151 842 -44
151 847 -100
151 916 -100
152 200 -100
152 328 -100
152 629 -100
152 757 -100
152 842 -44
152 1590 -100
153 413 100
153 999 -100
153 1254 -100
153 1307 -100
153 1546 -100
154 314 -100
154 424 -100
154 716 -100
154 754 -100
154 842 100
154 1122 -100
155 413 -44
155 607 -100
155 774 -100
155 1254 -100
155 1373 -100
156 317 -100
156 469 100
156 842 100
156 1370 -100
156 1567 -100
156 1569 -100
157 322 -100
157 413 100
157 876 -100
157 1646 -100
157 1722 -100
158 190 -100
158 772 -100
158 842 100
158 1034 -100
159 483 -100
159 750 -100
159 842 100
159 1124 -100
159 1159 -100
159 1229 100
159 1620 100
160 244 -100
160 305 -100
160 353 -100
160 413 100
160 582 -100
160 1826 -100
161 349 -100
161 413 -44
161 968 -100
161 1718 -100
162 413 100
162 441 -100
162 519 -100
162 557 -100
162 656 -100
162 1111 -100
162 1338 -100
163 229 -100
163 413 100
163 537 -100
163 1307 100
163 1391 100
163 1686 -100
164 413 -44
164 552 -100
164 638 -100
164 1288 -100
164 1554 -100
165 413 100
165 659 -100
165 1032 -100
165 1212 -100
165 1413 -100
165 1693 -100
166 443 -100
166 842 -44
166 1068 -100
166 1129 -100
166 1802 -100
167 231 -100
167 550 -100
167 563 -100
167 842 -44
167 1279 -100
168 187 -100
168 350 -100
168 413 100
168 1081 -100
168 1125 -100
168 1243 100
169 413 100
169 952 -100
169 1076 100
169 1549 -100
169 1690 -100
169 1782 100
169 1797 -100
170 354 -100
170 413 -44
170 440 -100
170 856 -100
170 1794 -100
171 187 -100
171 333 -100
171 413 100
171 624 -100
171 1004 -100
171 1572 100
171 1810 -100
172 530 -100
172 842 -44
172 1305 -100
172 1603 -100
172 1706 -100
173 800 -100
173 842 -44
173 907 -100
173 1501 -100
173 1512 -100
173 1756 -100
174 358 -100
174 413 100
174 649 -100
174 653 -100
174 737 -100
174 842 -44
174 1015 -100
174 1277 -100
174 1413 -100
174 1617 -100
174 1692 -100
175 405 -100
175 413 100
175 1453 -100
175 1472 -100
175 1608 -100
175 1638 -100
176 252 -100
176 842 100
176 951 -100
176 1186 100
176 1229 -100
176 1745 -100
176 1784 100
177 530 -100
177 739 -100
177 842 -44
177 1603 -100
177 1706 -100
178 254 -100
178 413 100
178 721 -100
178 820 -100
178 1399 -100
178 1749 -100
179 398 -100
179 499 -100
179 842 100
179 886 -100
179 1491 -100
179 1741 -100
180 413 -44
180 892 -100
180 1061 -100
180 1104 -100
180 1614 -100
180 1656 -100
181 206 -100
181 508 -100
181 842 -44
181 1334 -100
181 1829 -100
182 413 -44
182 414 -100
182 514 -100
182 1380 -100
182 1698 -100
183 413 100
183 607 -100
183 999 -100
183 1307 -100
183 1546 -100
184 255 -100
184 361 -100
184 413 -44
184 709 -100
184 859 -100
185 224 -100
185 474 -100
185 658 -100
185 842 -44
185 1753 -100
186 837 -100
186 842 -44
186 868 -100
187 413 100
187 498 -100
187 1138 -100
187 1155 -100
187 1372 -100
188 420 -100
188 762 100
188 842 100
188 926 -100
188 1166 100
188 1289 -100
188 1520 -100
189 190 100
189 661 -100
189 674 -100
189 683 -100
189 842 100
189 1010 -100
189 1222 -100
190 220 -100
190 521 -100
190 842 100
190 996 -100
190 1109 -100
191 264 -100
191 413 -44
191 718 -100
191 946 -100
191 1170 -100
191 1526 -100
192 661 -100
192 842 -44
192 1398 -100
192 1476 -100
192 1765 -100
192 1817 -100
193 413 100
193 491 -100
193 1324 -100
193 1330 -100
193 1374 -100
193 1834 -100
194 842 -44
194 955 -100
194 1245 -100
194 1462 -100
194 1598 -100
194 1622 -100
195 482 -100
195 564 -100
195 636 -100
195 762 -100
195 842 100
196 842 100
196 1291 -100
196 1357 -100
196 1509 -100
196 1551 -100
197 291 -100
197 842 -44
197 910 -100
197 1105 -100
197 1599 -100
198 413 100
198 499 -100
198 842 100
198 886 -100
198 918 -100
198 999 -100
198 1307 -100
198 1373 -100
198 1491 -100
198 1546 -100
198 1741 -100
199 332 -100
199 413 100
199 557 -100
199 1637 -100
199 1806 -100
200 665 -100
200 842 -44
201 842 -44
201 1139 -100
202 413 -44
202 419 -100
202 753 -100
202 853 -100
202 1690 -100
203 413 -44
203 470 -100
203 1069 -100
203 1444 -100
203 1568 -100
204 211 -100
204 555 -100
204 815 -100
204 842 100
204 1748 -100
204 1784 -100
205 216 -100
205 413 100
205 875 -100
205 1621 -100
206 302 -100
206 842 -44
206 1046 -100
206 1119 -100
207 477 -100
207 589 -100
207 842 -44
207 1532 -100
208 413 100
208 668 -100
208 963 -100
208 1247 -100
208 1363 -100
208 1534 -100
208 1840 -100
209 842 -44
209 909 -100
209 1315 -100
209 1719 -100
209 1827 -100
210 252 -100
210 815 100
210 842 100
210 951 -100
210 1229 -100
210 1640 100
210 1745 -100
211 327 -100
211 536 -100
211 703 -100
211 744 -100
211 842 -44
212 675 -100
212 842 -44
212 964 -100
212 1435 -100
212 1792 -100
213 413 100
213 813 -100
213 1013 -100
213 1292 -100
213 1815 -100
213 1816 100
214 269 -100
214 413 -44
214 426 -100
214 852 -100
214 1434 -100
214 1607 -100
215 292 -100
215 413 100
215 488 -100
215 491 -100
215 1324 -100
215 1374 -100
216 413 100
216 422 -100
216 425 100
216 645 -100
216 1507 100
217 454 -100
217 627 -100
217 842 -44
217 1595 -100
217 1738 -100
217 1824 -100
218 389 -100
218 613 -100
218 842 100
218 1065 -100
218 1285 -100
218 1468 -100
218 1704 -100
219 413 100
219 432 -100
219 490 -100
219 641 100
219 1085 -100
219 1672 -100
219 1837 -100
220 772 -100
220 842 100
220 1034 -100
221 283 -100
221 842 100
221 907 -100
221 1250 -100
221 1715 -100
221 1833 100
222 565 -100
222 842 -44
222 954 -100
222 989 -100
222 1313 -100
223 716 100
223 842 100
223 1594 -100
223 1659 -100
224 842 -44
224 855 -100
224 1496 -100
225 842 -44
225 1139 -100
226 413 -44
226 921 -100
226 949 -100
226 1726 -100
227 362 -100
227 413 -44
227 633 -100
227 980 -100
227 1601 -100
227 1634 -100
228 827 -100
228 835 -100
228 842 100
228 855 -100
228 1042 -100
228 1295 100
228 1707 -100
229 413 100
229 493 -100
229 1114 -100
229 1258 -100
230 511 -100
230 777 -100
230 842 100
230 1200 -100
230 1231 -100
230 1683 -100
230 1724 -100
231 240 -100
231 842 -44
231 1044 -100
231 1078 -100
231 1803 -100
232 512 -100
232 698 -100
232 842 100
232 1146 -100
232 1343 -100
233 413 100
233 972 -100
233 994 -100
233 1045 -100
233 1455 -100
234 366 -100
234 413 100
234 1007 -100
234 1057 -100
234 1084 -100
234 1575 100
234 1800 100
235 555 -100
235 815 -100
235 842 100
235 1748 -100
235 1784 -100
236 761 -100
236 842 -44
236 875 -100
236 1205 -100
236 1805 -100
237 259 -100
237 399 -100
237 413 100
237 1058 -100
237 1602 -100
238 413 100
238 1102 -100
238 1199 -100
238 1362 -100
238 1713 -100
239 413 100
239 690 -100
239 1215 -100
239 1226 -100
239 1452 -100
240 550 -100
240 563 -100
240 842 -44
240 1279 -100
241 675 -100
241 842 -44
241 964 -100
241 1435 -100
241 1792 -100
242 370 -100
242 413 -44
242 1168 -100
242 1177 -100
243 842 100
243 1101 -100
243 1257 -100
243 1280 -100
243 1363 -100
243 1525 100
243 1533 -100
244 413 100
244 765 -100
244 843 -100
244 1430 -100
244 1586 -100
244 1785 -100
245 293 -100
245 404 -100
245 500 -100
245 842 -44
245 1847 -100
246 285 -100
246 367 -100
246 842 100
246 1164 -100
246 1285 -100
246 1318 -100
247 842 -44
247 1133 -100
247 1542 -100
247 1812 -100
248 401 100
248 842 100
248 884 -100
248 939 -100
248 1329 -100
248 1655 100
248 1777 -100
249 268 -100
249 651 -100
249 740 -100
249 743 -100
249 842 -44
250 547 -100
250 568 -100
250 842 -44
250 1210 -100
250 1308 -100
250 1666 -100
251 413 100
251 592 -100
251 623 -100
251 1287 100
251 1647 -100
251 1716 -100
251 1746 -100
252 712 100
252 842 100
252 1063 -100
252 1261 -100
253 413 -44
253 1132 -100
253 1323 -100
253 1657 -100
254 413 100
254 818 100
254 1061 -100
254 1766 100
254 1830 -100
255 331 -100
255 413 -44
255 642 -100
255 755 -100
255 1801 -100
256 413 -44
256 707 -100
256 876 -100
256 938 -100
256 1717 -100
257 413 100
257 453 -100
257 497 -100
257 593 -100
257 922 -100
257 1031 100
257 1198 -100
258 460 -100
258 786 -100
258 842 100
258 1062 -100
258 1143 -100
258 1502 100
258 1835 -100
259 360 -100
259 413 100
259 864 -100
259 1195 100
259 1432 100
259 1478 -100
260 343 -100
260 413 -44
260 1564 -100
260 1600 -100
260 1666 -100
260 1813 -100
261 612 -100
261 842 -44
261 1005 -100
261 1108 -100
261 1448 -100
261 1743 -100
262 335 -100
262 413 100
262 652 -100
262 979 -100
262 1018 -100
262 1270 -100
263 411 -100
263 413 -44
263 541 -100
263 854 -100
263 976 -100
264 413 100
264 814 -100
264 1345 -100
264 1365 -100
264 1764 -100
265 413 -44
265 601 -100
265 1008 -100
265 1224 -100
266 443 -100
266 842 -44
266 1068 -100
266 1129 -100
266 1659 -100
266 1802 -100
267 597 -100
267 842 100
267 1075 -100
267 1540 -100
267 1580 -100
267 1739 -100
268 823 -100
268 842 -44
268 1514 -100
269 332 -100
269 413 100
269 557 -100
269 1806 -100
270 413 100
270 461 -100
270 1309 -100
270 1430 -100
270 1708 -100
271 413 -44
271 465 -100
271 576 -100
271 1311 -100
272 483 -100
272 539 -100
272 842 -44
272 878 -100
272 915 -100
272 1700 -100
273 430 -100
273 803 -100
273 842 100
273 969 -100
273 1519 -100
274 284 -100
274 842 100
274 888 -100
274 1179 -100
274 1474 -100
275 766 -100
275 842 -44
275 1153 -100
275 1401 -100
275 1613 -100
276 842 -44
276 948 -100
276 1447 -100
276 1530 -100
277 413 -44
277 833 -100
277 1056 -100
277 1178 -100
277 1583 -100
278 413 100
278 503 -100
278 1192 -100
278 1341 -100
278 1510 -100
279 539 -100
279 842 -44
279 878 -100
279 915 -100
279 1159 -100
279 1700 -100
280 413 100
280 814 -100
280 1343 -100
280 1345 -100
280 1365 -100
280 1764 -100
281 413 -44
281 902 -100
281 1336 -100
281 1522 -100
281 1528 -100
282 413 -44
282 644 -100
282 1359 -100
282 1573 -100
283 433 -100
283 842 100
283 1286 -100
283 1324 -100
283 1459 -100
284 499 -100
284 629 -100
284 730 -100
284 775 -100
284 842 100
284 863 -100
285 363 -100
285 401 -100
285 842 100
285 980 -100
285 1030 -100
285 1157 -100
286 452 -100
286 783 -100
286 842 -44
286 1396 -100
286 1517 -100
287 842 100
287 871 -100
287 1109 100
287 1197 -100
287 1421 -100
287 1537 -100
288 413 100
288 590 -100
288 1198 -100
288 1604 -100
288 1800 -100
288 1805 -100
289 413 100
289 794 -100
289 816 -100
289 995 -100
289 1328 -100
289 1766 -100
290 307 -100
290 408 -100
290 413 -44
290 513 -100
290 1248 -100
291 575 -100
291 842 -44
291 1267 -100
291 1832 -100
292 413 100
292 861 -100
292 1097 -100
292 1152 -100
292 1482 -100
292 1816 -100
293 407 -100
293 778 -100
293 842 -44
293 1151 -100
293 1678 -100
294 324 -100
294 393 -100
294 413 -44
294 1000 -100
294 1454 -100
295 597 -100
295 842 100
295 1540 -100
295 1580 -100
295 1739 -100
296 369 -100
296 413 -44
296 682 -100
296 934 -100
297 413 -44
297 578 -100
297 817 -100
297 1428 -100
297 1628 -100
298 413 100
298 713 -100
298 874 -100
298 1757 -100
298 1761 -100
299 626 -100
299 842 100
299 989 -100
299 1249 -100
299 1327 -100
299 1390 -100
300 413 100
300 448 -100
300 1428 -100
300 1432 -100
300 1450 -100
300 1563 -100
301 839 -100
301 842 100
301 1169 -100
301 1218 -100
301 1417 -100
301 1670 -100
302 330 -100
302 639 -100
302 842 100
302 1136 -100
302 1689 -100
303 413 100
303 538 -100
303 982 -100
303 1092 -100
303 1188 -100
303 1310 100
303 1644 -100
304 697 -100
304 767 -100
304 842 -44
304 847 -100
304 916 -100
305 413 100
305 461 -100
305 843 -100
305 857 -100
305 1586 -100
305 1785 -100
306 321 -100
306 495 -100
306 842 -44
306 898 -100
306 1274 -100
306 1852 -100
307 413 -44
307 1141 -100
307 1269 -100
307 1473 -100
307 1736 -100
308 413 100
308 503 -100
308 895 -100
308 1162 -100
308 1300 -100
309 599 -100
309 842 100
309 1014 -100
309 1505 -100
309 1652 -100
310 552 -100
310 632 -100
310 831 -100
310 839 -100
310 842 -44
310 1214 -100
311 388 -100
311 397 -100
311 842 100
311 885 -100
311 1236 -100
311 1740 -100
312 413 -44
312 602 -100
312 1123 -100
312 1227 -100
312 1253 -100
312 1582 -100
313 767 -100
313 842 -44
313 847 -100
313 916 -100
313 1406 -100
314 842 -44
314 848 -100
314 1099 -100
315 373 -100
315 390 -100
315 677 -100
315 842 100
315 843 -100
315 1132 -100
315 1737 -100
316 381 -100
316 467 -100
316 722 -100
316 842 -44
316 1664 -100
317 648 -100
317 761 -100
317 842 100
317 1497 -100
317 1578 -100
318 842 -44
318 1133 -100
318 1542 -100
318 1812 -100
319 376 -100
319 413 -44
319 807 -100
319 858 -100
319 1383 -100
319 1730 -100
320 736 -100
320 842 -44
320 1200 -100
320 1648 -100
321 561 -100
321 745 -100
321 842 100
321 1186 -100
321 1640 -100
322 413 100
322 427 -100
322 710 -100
322 1238 100
322 1516 100
323 413 -44
323 718 -100
323 946 -100
323 1170 -100
323 1526 -100
324 392 -100
324 413 -44
324 1255 -100
324 1440 -100
325 413 -44
325 591 -100
325 900 -100
325 915 -100
325 1545 -100
326 413 100
326 580 -100
326 805 -100
326 995 100
326 1111 -100
326 1336 -100
326 1342 -100
327 842 -44
327 1348 -100
327 1825 -100
328 665 -100
328 842 -44
329 384 -100
329 725 -100
329 842 -44
329 1553 -100
330 531 -100
330 673 100
330 842 100
330 1202 -100
330 1490 -100
331 413 100
331 425 -100
331 785 -100
331 1539 -100
332 413 100
332 769 100
332 1508 -100
332 1571 -100
333 413 100
333 785 100
333 789 -100
333 959 100
333 1246 -100
333 1699 -100
334 413 100
334 503 -100
334 895 -100
334 1162 -100
335 413 100
335 416 -100
335 646 -100
335 818 -100
335 1411 -100
335 1636 -100
336 349 -100
336 413 -44
336 968 -100
336 1718 -100
337 521 -100
337 842 -44
337 1185 -100
337 1536 -100
338 398 -100
338 842 -44
338 879 -100
338 918 -100
338 1846 -100
339 413 100
339 453 -100
339 497 -100
339 590 -100
339 593 -100
339 717 -100
339 760 -100
339 829 -100
339 842 100
339 922 -100
339 1015 -100
339 1173 -100
339 1363 -100
340 673 -100
340 842 100
340 1090 -100
340 1225 -100
340 1475 -100
340 1585 -100
341 413 -44
341 607 -100
341 774 -100
341 1254 -100
341 1373 -100
342 413 -44
342 579 -100
342 653 -100
342 956 -100
342 1217 -100
343 413 -44
343 1455 -100
343 1611 -100
343 1845 -100
344 413 100
344 557 100
344 875 100
344 961 -100
344 1310 -100
344 1386 -100
344 1574 -100
345 477 -100
345 589 -100
345 842 -44
345 1532 -100
346 413 -44
346 1137 -100
346 1543 -100
346 1561 -100
346 1755 -100
347 492 -100
347 510 -100
347 842 -44
347 1663 -100
347 1769 -100
348 413 -44
348 1132 -100
348 1323 -100
348 1657 -100
